+,17_1_1_ABS_SQR.pgm,17_1_2_ABS_SQR.pgm,33_1_1_ABS_SQR.pgm,33_1_2_ABS_SQR.pgm,33_2_3_ABS_SQR.pgm,88_1_1_ABS_SQR.pgm,88_1_2_ABS_SQR.pgm,88_2_1_ABS_SQR.pgm,93_1_2_ABS_SQR.pgm,93_2_2_ABS_SQR.pgm,93_2_4_ABS_SQR.pgm
17_1_1_ABS_SQR.pgm,1.0,0.9104341247431673,0.9120139385496798,0.8870160696710804,0.8962608341550031,0.9124734618836043,0.9104209873639648,0.9039371799937785,0.909180533193893,0.8795616286500785,0.9099603948935044
17_1_2_ABS_SQR.pgm,0.9104341247431673,1.0,0.9194903883684621,0.8913100503278939,0.9040764217262788,0.9220233232181761,0.9178424283371569,0.9077841416636014,0.9154975676098743,0.8841355557272458,0.9178882828525136
33_1_1_ABS_SQR.pgm,0.9120139385496798,0.9194903883684621,1.0,0.8934801266802843,0.9063799501804687,0.9223029489573608,0.9204296661193213,0.9114653403740078,0.91896465166701,0.888831286329645,0.919278349484464
33_1_2_ABS_SQR.pgm,0.8870160696710804,0.8913100503278939,0.8934801266802843,1.0,0.8800829385814979,0.8924097578058312,0.8923216428172726,0.8880765188143788,0.891679198784319,0.8634025261725083,0.8920235033730963
33_2_3_ABS_SQR.pgm,0.8962608341550031,0.9040764217262788,0.9063799501804687,0.8800829385814979,1.0,0.9055589867286548,0.9023477009466502,0.896239804704502,0.9019919638209266,0.8723463118922657,0.9031185200243952
88_1_1_ABS_SQR.pgm,0.9124734618836043,0.9220233232181761,0.9223029489573608,0.8924097578058312,0.9055589867286548,1.0,0.9189352824463118,0.9098778400248988,0.918057500778089,0.8874513084116694,0.9199952341932048
88_1_2_ABS_SQR.pgm,0.9104209873639648,0.9178424283371569,0.9204296661193213,0.8923216428172726,0.9023477009466502,0.9189352824463118,1.0,0.9102267864783911,0.9161043548166393,0.8866557266917559,0.9156444898666056
88_2_1_ABS_SQR.pgm,0.9039371799937785,0.9077841416636014,0.9114653403740078,0.8880765188143788,0.896239804704502,0.9098778400248988,0.9102267864783911,1.0,0.9091661937490805,0.8811825988900249,0.9083159908347522
93_1_2_ABS_SQR.pgm,0.909180533193893,0.9154975676098743,0.91896465166701,0.891679198784319,0.9019919638209266,0.918057500778089,0.9161043548166393,0.9091661937490805,1.0,0.8854473057606499,0.9158253205128205
93_2_2_ABS_SQR.pgm,0.8795616286500785,0.8841355557272458,0.888831286329645,0.8634025261725083,0.8723463118922657,0.8874513084116694,0.8866557266917559,0.8811825988900249,0.8854473057606499,1.0,0.8839374113684413
93_2_4_ABS_SQR.pgm,0.9099603948935044,0.9178882828525136,0.919278349484464,0.8920235033730963,0.9031185200243952,0.9199952341932048,0.9156444898666056,0.9083159908347522,0.9158253205128205,0.8839374113684413,1.0
