+,17_1_1_COMPLEX.pgm,17_1_2_COMPLEX.pgm,33_1_1_COMPLEX.pgm,33_1_2_COMPLEX.pgm,33_2_3_COMPLEX.pgm,88_1_1_COMPLEX.pgm,88_1_2_COMPLEX.pgm,88_2_1_COMPLEX.pgm,93_1_2_COMPLEX.pgm,93_2_2_COMPLEX.pgm,93_2_4_COMPLEX.pgm
17_1_1_COMPLEX.pgm,1.0,0.8974599041005291,0.9280030588624338,0.9291067294973545,0.9282097387566137,0.9281532057267351,0.9287702688834154,0.929351207290826,0.929522156084656,0.9290075231481482,0.9280815972222223
17_1_2_COMPLEX.pgm,0.8974599041005291,1.0,0.8958636153875866,0.8960547099733077,0.8957852147039688,0.8958671215256417,0.8959701696770662,0.8957534638149045,0.8965550188654697,0.8959817362737444,0.8960834033173438
33_1_1_COMPLEX.pgm,0.9280030588624338,0.8958636153875866,1.0,0.9283014112903226,0.9272193908148558,0.9274626517273576,0.9276028838259441,0.9280312584073177,0.9286974366359447,0.9277853782642089,0.9273133480542755
33_1_2_COMPLEX.pgm,0.9291067294973545,0.8960547099733077,0.9283014112903226,1.0,0.9276098588342441,0.9276061118892002,0.9285863950465244,0.9285798358891579,0.9292268990929705,0.9278353814644137,0.9279710726883346
33_2_3_COMPLEX.pgm,0.9282097387566137,0.8957852147039688,0.9272193908148558,0.9276098588342441,1.0,0.92697877762216,0.9275173611111112,0.9273880986010223,0.9278314467863649,0.9271382220921155,0.9275976613322925
88_1_1_COMPLEX.pgm,0.9281532057267351,0.8958671215256417,0.9274626517273576,0.9276061118892002,0.92697877762216,1.0,0.9272632664176782,0.926555691721133,0.9272292250233427,0.9264632936507936,0.9265070611577965
88_1_2_COMPLEX.pgm,0.9287702688834154,0.8959701696770662,0.9276028838259441,0.9285863950465244,0.9275173611111112,0.9272632664176782,1.0,0.9287659927476738,0.9292214012041599,0.928282789408867,0.9281459530651341
88_2_1_COMPLEX.pgm,0.929351207290826,0.8957534638149045,0.9280312584073177,0.9285798358891579,0.9273880986010223,0.926555691721133,0.9287659927476738,1.0,0.9294373822975518,0.9290611548291633,0.9287942224912564
93_1_2_COMPLEX.pgm,0.929522156084656,0.8965550188654697,0.9286974366359447,0.9292268990929705,0.9278314467863649,0.9272292250233427,0.9292214012041599,0.9294373822975518,1.0,0.9287494399641577,0.9283157814407814
93_2_2_COMPLEX.pgm,0.9290075231481482,0.8959817362737444,0.9277853782642089,0.9278353814644137,0.9271382220921155,0.9264632936507936,0.928282789408867,0.9290611548291633,0.9287494399641577,1.0,0.9281474014336918
93_2_4_COMPLEX.pgm,0.9280815972222223,0.8960834033173438,0.9273133480542755,0.9279710726883346,0.9275976613322925,0.9265070611577965,0.9281459530651341,0.9287942224912564,0.9283157814407814,0.9281474014336918,1.0
