+,17_1_1_REAL.pgm,17_1_2_REAL.pgm,33_1_1_REAL.pgm,33_1_2_REAL.pgm,33_2_3_REAL.pgm,88_1_1_REAL.pgm,88_1_2_REAL.pgm,88_2_1_REAL.pgm,93_1_2_REAL.pgm,93_2_2_REAL.pgm,93_2_4_REAL.pgm
17_1_1_REAL.pgm,1.0,0.924167080026455,0.9260623346560847,0.9264550264550264,0.9266389715608465,0.9204794723761072,0.9260057471264368,0.92631616559053,0.9267753802910053,0.9267402447089947,0.9241278108465608
17_1_2_REAL.pgm,0.924167080026455,1.0,0.9264937874056727,0.9265486761644548,0.926542577413479,0.9207686546840959,0.9263029385604816,0.9257087368845843,0.9269532266458496,0.9265283469945356,0.923401720660942
33_1_1_REAL.pgm,0.9260623346560847,0.9264937874056727,1.0,0.9290814612135176,0.9291752049180327,0.9223199696545284,0.9285714285714286,0.9276340126446059,0.9296474974398361,0.9293434779825909,0.9257552483358935
33_1_2_REAL.pgm,0.9264550264550264,0.9265486761644548,0.9290814612135176,1.0,0.9294394841269841,0.92257819757686,0.9284666632457581,0.9275184120258273,0.9292328042328042,0.9294654857910907,0.9255952380952381
33_2_3_REAL.pgm,0.9266389715608465,0.926542577413479,0.9291752049180327,0.9294394841269841,1.0,0.9218190748521631,0.9285692905035577,0.928287681598063,0.9291020199063232,0.9291833365860005,0.925414308482956
88_1_1_REAL.pgm,0.9204794723761072,0.9207686546840959,0.9223199696545284,0.92257819757686,0.9218190748521631,1.0,0.9223977785558668,0.922300517429194,0.9223078120136944,0.922563606208141,0.9205034248157505
88_1_2_REAL.pgm,0.9260057471264368,0.9263029385604816,0.9285714285714286,0.9284666632457581,0.9285692905035577,0.9223977785558668,1.0,0.927457495210728,0.9285586001642037,0.9286761938970991,0.9257940784072249
88_2_1_REAL.pgm,0.92631616559053,0.9257087368845843,0.9276340126446059,0.9275184120258273,0.928287681598063,0.922300517429194,0.927457495210728,1.0,0.9279387779122948,0.9282057102502018,0.9250382532956686
93_1_2_REAL.pgm,0.9267753802910053,0.9269532266458496,0.9296474974398361,0.9292328042328042,0.9291020199063232,0.9223078120136944,0.9285586001642037,0.9279387779122948,1.0,0.9291554659498208,0.9255265567765568
93_2_2_REAL.pgm,0.9267402447089947,0.9265283469945356,0.9293434779825909,0.9294654857910907,0.9291833365860005,0.922563606208141,0.9286761938970991,0.9282057102502018,0.9291554659498208,1.0,0.9253292210701485
93_2_4_REAL.pgm,0.9241278108465608,0.923401720660942,0.9257552483358935,0.9255952380952381,0.925414308482956,0.9205034248157505,0.9257940784072249,0.9250382532956686,0.9255265567765568,0.9253292210701485,1.0
