+,17_1_1_ABS.pgm,17_1_2_ABS.pgm,33_1_1_ABS.pgm,33_1_2_ABS.pgm,33_2_3_ABS.pgm,88_1_1_ABS.pgm,88_1_2_ABS.pgm,88_2_1_ABS.pgm,93_1_2_ABS.pgm,93_2_2_ABS.pgm,93_2_4_ABS.pgm
17_1_1_ABS.pgm,1.0,0.9323144014550264,0.9352017195767196,0.9343315972222223,0.9340463789682539,0.9345238095238095,0.9361316365626711,0.9347129741727199,0.9353773974867725,0.9363735945767195,0.9329406415343915
17_1_2_ABS.pgm,0.9323144014550264,1.0,0.9324888596148843,0.9327124804839969,0.9319968937028363,0.93213604886399,0.9325332683360701,0.9315938592951305,0.9317509107468124,0.9330458788706739,0.93219002081707
33_1_1_ABS.pgm,0.9352017195767196,0.9324888596148843,1.0,0.9342337909626216,0.9340481069476971,0.9343925070028011,0.9359883860153256,0.9344187180521927,0.9350538434459805,0.9358998975934459,0.9334057379672299
33_1_2_ABS.pgm,0.9343315972222223,0.9327124804839969,0.9342337909626216,1.0,0.9339037698412699,0.9337068160597572,0.9352272338533114,0.9338154930051117,0.9341380070546738,0.9348558307731695,0.9337226788863694
33_2_3_ABS.pgm,0.9340463789682539,0.9319968937028363,0.9340481069476971,0.9339037698412699,1.0,0.9334174642079054,0.9348637623152709,0.9335948009147161,0.9342005757220921,0.9349629195940672,0.9327287438199323
88_1_1_ABS.pgm,0.9345238095238095,0.93213604886399,0.9343925070028011,0.9337068160597572,0.9334174642079054,1.0,0.9349128540305011,0.934368191721133,0.9349225801431684,0.9350247043261749,0.9321263227513228
88_1_2_ABS.pgm,0.9361316365626711,0.9325332683360701,0.9359883860153256,0.9352272338533114,0.9348637623152709,0.9349128540305011,1.0,0.9352037151067324,0.9354752497263273,0.936612701833607,0.9336643062397373
88_2_1_ABS.pgm,0.9347129741727199,0.9315938592951305,0.9344187180521927,0.9338154930051117,0.9335948009147161,0.934368191721133,0.9352037151067324,1.0,0.9349084443099274,0.9356293718052192,0.9322895648372344
93_1_2_ABS.pgm,0.9353773974867725,0.9317509107468124,0.9350538434459805,0.9341380070546738,0.9342005757220921,0.9349225801431684,0.9354752497263273,0.9349084443099274,1.0,0.9361479134664619,0.9324023199023199
93_2_2_ABS.pgm,0.9363735945767195,0.9330458788706739,0.9358998975934459,0.9348558307731695,0.9349629195940672,0.9350247043261749,0.936612701833607,0.9356293718052192,0.9361479134664619,1.0,0.9338257648489503
93_2_4_ABS.pgm,0.9329406415343915,0.93219002081707,0.9334057379672299,0.9337226788863694,0.9327287438199323,0.9321263227513228,0.9336643062397373,0.9322895648372344,0.9324023199023199,0.9338257648489503,1.0
