+,17_1_1_ABS_SQR.pgm,17_1_2_ABS_SQR.pgm,33_1_1_ABS_SQR.pgm,33_1_2_ABS_SQR.pgm,33_2_3_ABS_SQR.pgm,88_1_1_ABS_SQR.pgm,88_1_2_ABS_SQR.pgm,88_2_1_ABS_SQR.pgm,93_1_2_ABS_SQR.pgm,93_2_2_ABS_SQR.pgm,93_2_4_ABS_SQR.pgm
17_1_1_ABS_SQR.pgm,1.0,0.25745657161586366,0.25823788250310703,0.26445892389332976,0.2468607122158542,0.24534949267192785,0.287718110709988,0.32028528097716935,0.2292734919628968,0.2507486209613869,0.2496817313812858
17_1_2_ABS_SQR.pgm,0.25745657161586366,1.0,0.24419224842953657,0.23445380601148655,0.2323527741495826,0.21427898948689786,0.24746602353094546,0.26947242795464915,0.20990336929290865,0.21973527867584072,0.23698460150036663
33_1_1_ABS_SQR.pgm,0.25823788250310703,0.24419224842953657,1.0,0.2399031648559282,0.24294851012408264,0.21229914448969284,0.2637035029473542,0.28160481735408277,0.20728659400685373,0.22279503971018533,0.22232840519422115
33_1_2_ABS_SQR.pgm,0.26445892389332976,0.23445380601148655,0.2399031648559282,1.0,0.22682821289485072,0.2259556697719242,0.25959230587201243,0.2832103994741839,0.20717202201313686,0.2251943492435008,0.22719487264489752
33_2_3_ABS_SQR.pgm,0.2468607122158542,0.2323527741495826,0.24294851012408264,0.22682821289485072,1.0,0.20826723611958511,0.2341083787835295,0.2655806875562011,0.21096895866252102,0.21632081686429513,0.21847925374373736
88_1_1_ABS_SQR.pgm,0.24534949267192785,0.21427898948689786,0.21229914448969284,0.2259556697719242,0.20826723611958511,1.0,0.22463914065122526,0.24046146613142383,0.197458126420335,0.21774881227920576,0.19897561852273407
88_1_2_ABS_SQR.pgm,0.287718110709988,0.24746602353094546,0.2637035029473542,0.25959230587201243,0.2341083787835295,0.22463914065122526,1.0,0.3009347275031686,0.22618596930603688,0.23469706433479076,0.24209333794883092
88_2_1_ABS_SQR.pgm,0.32028528097716935,0.26947242795464915,0.28160481735408277,0.2832103994741839,0.2655806875562011,0.24046146613142383,0.3009347275031686,1.0,0.2315518509438588,0.2680244399185336,0.254952335879927
93_1_2_ABS_SQR.pgm,0.2292734919628968,0.20990336929290865,0.20728659400685373,0.20717202201313686,0.21096895866252102,0.197458126420335,0.22618596930603688,0.2315518509438588,1.0,0.1959684530224356,0.20808225729316115
93_2_2_ABS_SQR.pgm,0.2507486209613869,0.21973527867584072,0.22279503971018533,0.2251943492435008,0.21632081686429513,0.21774881227920576,0.23469706433479076,0.2680244399185336,0.1959684530224356,1.0,0.21938857602574416
93_2_4_ABS_SQR.pgm,0.2496817313812858,0.23698460150036663,0.22232840519422115,0.22719487264489752,0.21847925374373736,0.19897561852273407,0.24209333794883092,0.254952335879927,0.20808225729316115,0.21938857602574416,1.0
