+,17_1_1_REAL.pgm,17_1_2_REAL.pgm,33_1_1_REAL.pgm,33_1_2_REAL.pgm,33_2_3_REAL.pgm,88_1_1_REAL.pgm,88_1_2_REAL.pgm,88_2_1_REAL.pgm,93_1_2_REAL.pgm,93_2_2_REAL.pgm,93_2_4_REAL.pgm
17_1_1_REAL.pgm,1.0,0.9445480405857983,0.9375976812840593,0.9306866012288202,0.9312613186249783,0.9385975580094372,0.9443398889620778,0.9447723298358892,0.9318174300622679,0.9368782508744801,0.9292312017795566
17_1_2_REAL.pgm,0.9445480405857983,1.0,0.9357456586278418,0.9270263125787954,0.9285920533571922,0.9383056866274262,0.9465233207937774,0.9479755178907722,0.9283805766806296,0.935826995811135,0.9254117694904226
33_1_1_REAL.pgm,0.9375976812840593,0.9357456586278418,1.0,0.9428421667560278,0.9430578714059132,0.9388748358223477,0.935832399462775,0.9359362389023406,0.9427721449092117,0.9408815550451741,0.9424040300573779
33_1_2_REAL.pgm,0.9306866012288202,0.9270263125787954,0.9428421667560278,1.0,0.9541441294887958,0.9396969402150119,0.9271153237465461,0.9254628228410008,0.9541511454830403,0.9436104064468114,0.957059152444931
33_2_3_REAL.pgm,0.9312613186249783,0.9285920533571922,0.9430578714059132,0.9541441294887958,1.0,0.9401128569343776,0.9289844906199475,0.9274469498251278,0.952547887266664,0.9430273699621782,0.9540485582984262
88_1_1_REAL.pgm,0.9385975580094372,0.9383056866274262,0.9388748358223477,0.9396969402150119,0.9401128569343776,1.0,0.9380016539378314,0.9379157913165266,0.9397553144914141,0.938972126283018,0.9391375200661575
88_1_2_REAL.pgm,0.9443398889620778,0.9465233207937774,0.935832399462775,0.9271153237465461,0.9289844906199475,0.9380016539378314,1.0,0.9475382286535303,0.9288989452252838,0.9362472946268937,0.9256952701951291
88_2_1_REAL.pgm,0.9447723298358892,0.9479755178907722,0.9359362389023406,0.9254628228410008,0.9274469498251278,0.9379157913165266,0.9475382286535303,1.0,0.9269887510088781,0.9359677663438256,0.9227724811676082
93_1_2_REAL.pgm,0.9318174300622679,0.9283805766806296,0.9427721449092117,0.9541511454830403,0.952547887266664,0.9397553144914141,0.9288989452252838,0.9269887510088781,1.0,0.9438084682420915,0.9543390148768405
93_2_2_REAL.pgm,0.9368782508744801,0.935826995811135,0.9408815550451741,0.9436104064468114,0.9430273699621782,0.938972126283018,0.9362472946268937,0.9359677663438256,0.9438084682420915,1.0,0.943000216067413
93_2_4_REAL.pgm,0.9292312017795566,0.9254117694904226,0.9424040300573779,0.957059152444931,0.9540485582984262,0.9391375200661575,0.9256952701951291,0.9227724811676082,0.9543390148768405,0.943000216067413,1.0
