+,17_1_1_ABS.pgm,17_1_2_ABS.pgm,33_1_1_ABS.pgm,33_1_2_ABS.pgm,33_2_3_ABS.pgm,88_1_1_ABS.pgm,88_1_2_ABS.pgm,88_2_1_ABS.pgm,93_1_2_ABS.pgm,93_2_2_ABS.pgm,93_2_4_ABS.pgm
17_1_1_ABS.pgm,1.0,0.17002129925452608,0.16943906721289334,0.15826332111643643,0.1578353003697881,0.15593090421309097,0.1502195146014207,0.15939353099730458,0.15778536745946836,0.1587238563318918,0.1472953962134473
17_1_2_ABS.pgm,0.17002129925452608,1.0,0.16960058831640393,0.15597618965378282,0.15026693769964483,0.1696978438018317,0.16078380482740723,0.17245627354639087,0.14735638159604886,0.15051617940487552,0.1577025636486352
33_1_1_ABS.pgm,0.16943906721289334,0.16960058831640393,1.0,0.15991264493889062,0.16302430419443356,0.1476920104804337,0.14840570247034499,0.1408810582920059,0.1507181529374916,0.15205772314270444,0.15563979081229543
33_1_2_ABS.pgm,0.15826332111643643,0.15597618965378282,0.15991264493889062,1.0,0.1555680351530557,0.14959193354172495,0.15123487485496437,0.16272402293611,0.15250889329829642,0.15515333395854825,0.1568355308813324
33_2_3_ABS.pgm,0.1578353003697881,0.15026693769964483,0.16302430419443356,0.1555680351530557,1.0,0.1418829008649368,0.1451257453979777,0.13702711441637028,0.13996663617284616,0.14646610651571812,0.14345343534466515
88_1_1_ABS.pgm,0.15593090421309097,0.1696978438018317,0.1476920104804337,0.14959193354172495,0.1418829008649368,1.0,0.141031336066302,0.13541578843829918,0.14014447186630155,0.1531477208158911,0.14439876670092497
88_1_2_ABS.pgm,0.1502195146014207,0.16078380482740723,0.14840570247034499,0.15123487485496437,0.1451257453979777,0.141031336066302,1.0,0.15099424857503932,0.15075865843646424,0.14868387856361953,0.1521831735889244
88_2_1_ABS.pgm,0.15939353099730458,0.17245627354639087,0.1408810582920059,0.16272402293611,0.13702711441637028,0.13541578843829918,0.15099424857503932,1.0,0.14074439769897829,0.14473122627310914,0.14749561533380406
93_1_2_ABS.pgm,0.15778536745946836,0.14735638159604886,0.1507181529374916,0.15250889329829642,0.13996663617284616,0.14014447186630155,0.15075865843646424,0.14074439769897829,1.0,0.14338875217573976,0.16552531608251417
93_2_2_ABS.pgm,0.1587238563318918,0.15051617940487552,0.15205772314270444,0.15515333395854825,0.14646610651571812,0.1531477208158911,0.14868387856361953,0.14473122627310914,0.14338875217573976,1.0,0.15002747425977137
93_2_4_ABS.pgm,0.1472953962134473,0.1577025636486352,0.15563979081229543,0.1568355308813324,0.14345343534466515,0.14439876670092497,0.1521831735889244,0.14749561533380406,0.16552531608251417,0.15002747425977137,1.0
