+,17_1_1_ABS_SQR.pgm,17_1_2_ABS_SQR.pgm,33_1_1_ABS_SQR.pgm,33_1_2_ABS_SQR.pgm,33_2_3_ABS_SQR.pgm,88_1_1_ABS_SQR.pgm,88_1_2_ABS_SQR.pgm,88_2_1_ABS_SQR.pgm,93_1_2_ABS_SQR.pgm,93_2_2_ABS_SQR.pgm,93_2_4_ABS_SQR.pgm
17_1_1_ABS_SQR.pgm,1.0,0.9998708344097132,1.0,0.9842319430315362,1.0,0.9998482549317147,0.9998664173123163,0.9998686629892304,0.9842319430315362,0.9841047812817905,0.9841047812817905
17_1_2_ABS_SQR.pgm,0.9998708344097132,1.0,0.9998729351969504,0.9843593593593594,0.9998729351969504,1.0,1.0,1.0,0.9843593593593594,0.9844844844844844,0.9844844844844844
33_1_1_ABS_SQR.pgm,1.0,0.9998729351969504,1.0,0.9847290640394089,1.0,0.9998482549317147,0.9998664173123163,0.9998686629892304,0.9847290640394089,0.9846059113300493,0.9846059113300493
33_1_2_ABS_SQR.pgm,0.9842319430315362,0.9843593593593594,0.9847290640394089,1.0,0.9844844844844844,0.9813766388557806,0.9835699263932702,0.9838417786970011,1.0,0.9998768472906404,0.9998787584869059
33_2_3_ABS_SQR.pgm,1.0,0.9998729351969504,1.0,0.9844844844844844,1.0,0.9998482549317147,0.9998664173123163,0.9998686629892304,0.9844844844844844,0.9843593593593594,0.9843593593593594
88_1_1_ABS_SQR.pgm,0.9998482549317147,1.0,0.9998482549317147,0.9813766388557806,0.9998482549317147,1.0,1.0,1.0,0.9813766388557806,0.9815256257449344,0.9815256257449344
88_1_2_ABS_SQR.pgm,0.9998664173123163,1.0,0.9998664173123163,0.9835699263932702,0.9998664173123163,1.0,1.0,1.0,0.9835699263932702,0.9837013669821241,0.9837013669821241
88_2_1_ABS_SQR.pgm,0.9998686629892304,1.0,0.9998686629892304,0.9838417786970011,0.9998686629892304,1.0,1.0,1.0,0.9838417786970011,0.983971044467425,0.983971044467425
93_1_2_ABS_SQR.pgm,0.9842319430315362,0.9843593593593594,0.9847290640394089,1.0,0.9844844844844844,0.9813766388557806,0.9835699263932702,0.9838417786970011,1.0,0.9998768472906404,0.9998824082784572
93_2_2_ABS_SQR.pgm,0.9841047812817905,0.9844844844844844,0.9846059113300493,0.9998768472906404,0.9843593593593594,0.9815256257449344,0.9837013669821241,0.983971044467425,0.9998768472906404,1.0,1.0
93_2_4_ABS_SQR.pgm,0.9841047812817905,0.9844844844844844,0.9846059113300493,0.9998787584869059,0.9843593593593594,0.9815256257449344,0.9837013669821241,0.983971044467425,0.9998824082784572,1.0,1.0
