+,17_1_1_COMPLEX.pgm,17_1_2_COMPLEX.pgm,33_1_1_COMPLEX.pgm,33_1_2_COMPLEX.pgm,33_2_3_COMPLEX.pgm,88_1_1_COMPLEX.pgm,88_1_2_COMPLEX.pgm,88_2_1_COMPLEX.pgm,93_1_2_COMPLEX.pgm,93_2_2_COMPLEX.pgm,93_2_4_COMPLEX.pgm
17_1_1_COMPLEX.pgm,1.0,0.9491992209306653,0.9521785510506164,0.9556620000165387,0.956931339877118,0.9470568347930992,0.9541950608094523,0.9614962467671734,0.9553291600856701,0.9556351247426176,0.9543141016629593
17_1_2_COMPLEX.pgm,0.9491992209306653,1.0,0.9709910935784294,0.9682439302126967,0.9622148115010777,0.9828379209950893,0.9779990845428918,0.9702495847263399,0.9619158973524747,0.9682459636422791,0.9625970962625564
33_1_1_COMPLEX.pgm,0.9521785510506164,0.9709910935784294,1.0,0.9597034274693704,0.9788157306112489,0.9718392761589726,0.9681086768693807,0.963534264546349,0.9762765982986692,0.958799145333344,0.9740499035699138
33_1_2_COMPLEX.pgm,0.9556620000165387,0.9682439302126967,0.9597034274693704,1.0,0.9550652730895929,0.9683319550518071,0.9671505684491475,0.9645076652678849,0.9565236223883066,0.9731076095741872,0.9579766414390007
33_2_3_COMPLEX.pgm,0.956931339877118,0.9622148115010777,0.9788157306112489,0.9550652730895929,1.0,0.962859366639101,0.9618574471543324,0.9610366402327752,0.9839684411728822,0.9536317052340477,0.9801740615722477
88_1_1_COMPLEX.pgm,0.9470568347930992,0.9828379209950893,0.9718392761589726,0.9683319550518071,0.962859366639101,1.0,0.978294445430864,0.96980583209085,0.9627353213017463,0.9681860193608016,0.9634285158340224
88_1_2_COMPLEX.pgm,0.9541950608094523,0.9779990845428918,0.9681086768693807,0.9671505684491475,0.9618574471543324,0.978294445430864,1.0,0.970850818991885,0.9613676997698829,0.9672104502254121,0.9616221973190073
88_2_1_COMPLEX.pgm,0.9614962467671734,0.9702495847263399,0.963534264546349,0.9645076652678849,0.9610366402327752,0.96980583209085,0.970850818991885,1.0,0.9600779561528177,0.9645728389663031,0.9598130566044083
93_1_2_COMPLEX.pgm,0.9553291600856701,0.9619158973524747,0.9762765982986692,0.9565236223883066,0.9839684411728822,0.9627353213017463,0.9613676997698829,0.9600779561528177,1.0,0.954713870727667,0.9789270202810494
93_2_2_COMPLEX.pgm,0.9556351247426176,0.9682459636422791,0.958799145333344,0.9731076095741872,0.9536317052340477,0.9681860193608016,0.9672104502254121,0.9645728389663031,0.954713870727667,1.0,0.9575047414793415
93_2_4_COMPLEX.pgm,0.9543141016629593,0.9625970962625564,0.9740499035699138,0.9579766414390007,0.9801740615722477,0.9634285158340224,0.9616221973190073,0.9598130566044083,0.9789270202810494,0.9575047414793415,1.0
