+,17_1_1_REAL.pgm,17_1_2_REAL.pgm,33_1_1_REAL.pgm,33_1_2_REAL.pgm,33_2_3_REAL.pgm,88_1_1_REAL.pgm,88_1_2_REAL.pgm,88_2_1_REAL.pgm,93_1_2_REAL.pgm,93_2_2_REAL.pgm,93_2_4_REAL.pgm
17_1_1_REAL.pgm,1.0,0.9816754792487463,0.9668917298580159,0.9651779143133574,0.963712178220278,0.984131887269269,0.9848112255371562,0.9729977501629555,0.9667408148583053,0.9670488468440159,0.9635240513028306
17_1_2_REAL.pgm,0.9816754792487463,1.0,0.9677477719229769,0.967011855971897,0.9671378968253969,0.9812188307725227,0.983579600128301,0.9700618438809873,0.9662393475149623,0.9660563849856882,0.9669000455373407
33_1_1_REAL.pgm,0.9668917298580159,0.9677477719229769,1.0,0.9718052032234057,0.9837772987921428,0.9669844821715231,0.9671505847640632,0.9632483412242564,0.9646469698545946,0.9639167420235113,0.9768207680796408
33_1_2_REAL.pgm,0.9651779143133574,0.967011855971897,0.9718052032234057,1.0,0.9725344666314205,0.9653986476625966,0.9657394539351307,0.9617367318964285,0.9661986028965875,0.9655312457486736,0.9711995085724187
33_2_3_REAL.pgm,0.963712178220278,0.9671378968253969,0.9837772987921428,0.9725344666314205,1.0,0.964026852167145,0.964155138868102,0.962316988050087,0.9644678514783033,0.9634084346659075,0.9788299646183253
88_1_1_REAL.pgm,0.984131887269269,0.9812188307725227,0.9669844821715231,0.9653986476625966,0.964026852167145,1.0,0.9842022462621061,0.9730723672529242,0.9670112370482075,0.9670793403706767,0.963664445201148
88_1_2_REAL.pgm,0.9848112255371562,0.983579600128301,0.9671505847640632,0.9657394539351307,0.964155138868102,0.9842022462621061,1.0,0.9714400574791296,0.9665968228175579,0.9666652412819909,0.964687520044472
88_2_1_REAL.pgm,0.9729977501629555,0.9700618438809873,0.9632483412242564,0.9617367318964285,0.962316988050087,0.9730723672529242,0.9714400574791296,1.0,0.9637886522079168,0.9642574823610539,0.9603638794749102
93_1_2_REAL.pgm,0.9667408148583053,0.9662393475149623,0.9646469698545946,0.9661986028965875,0.9644678514783033,0.9670112370482075,0.9665968228175579,0.9637886522079168,1.0,0.9669276814366082,0.9659679869321955
93_2_2_REAL.pgm,0.9670488468440159,0.9660563849856882,0.9639167420235113,0.9655312457486736,0.9634084346659075,0.9670793403706767,0.9666652412819909,0.9642574823610539,0.9669276814366082,1.0,0.9644329030657565
93_2_4_REAL.pgm,0.9635240513028306,0.9669000455373407,0.9768207680796408,0.9711995085724187,0.9788299646183253,0.963664445201148,0.964687520044472,0.9603638794749102,0.9659679869321955,0.9644329030657565,1.0
